Name,Type,Contact ,E-mail ,Contact Via Website,Website ,Contact via Twitter,
10T Holdings ,Crypto Fund Manager,/,info@10tfund.com,https://10tfund.com/#contact,https://10tfund.com/,https://twitter.com/DTAPCAP,
a16z,Crypto Hedgefund,Andreessen Horowitz,businessplans@a16z.com,https://a16z.com/about/contact/,https://a16z.com/,https://twitter.com/a16z,
Aenigma Capital ,Crypto hedgefund,David Grider,contact@aenigma.capital,https://aenigma.capital/about/contact,https://aenigma.capital/,https://twitter.com/aenigma_capital,
Akuna Capital ,Quant. Fund & MM ,/,institutionaltrading@akunacapital.com,https://akunacapital.com/contact,https://akunacapital.com/,https://twitter.com/AkunaCapital,
Alameda ,Crypto Hedgefund & MM,Sam Trabucco,info@alameda-research.com,https://www.alameda-research.com/join-alameda,https://www.alameda-research.com/join-alameda,https://twitter.com/AlamedaTrabucco,
Amber Group,Crypto Hedgefund & MM,Telegram: @AmberGroup,service@ambergroup.io,https://www.ambergroup.io/institutional,https://www.ambergroup.io/,https://twitter.com/ambergroup_io,
Amentum Capital,Investment Manager & Fund,/,info@amentum.org,https://amentum.org/about,https://amentum.org/index.html,https://twitter.com/Amentum,
Bastion ,Quant. Hedgefund & MM,Skyhopper,contact@bastiontrade.com,https://www.bastiontrade.com/ (scroll all the way down),bastiontrading.com,https://twitter.com/TheSkyhopper?s=20 (Founder), 
Bitbull Capital ,Crypto hedgefund,Lindsay Joo,/,https://bitbullcapital.com/contact/,https://bitbullcapital.com/,https://twitter.com/cryptojoo1,
Bitwise Asset Mangement,Crypto hedgefund,David Lawant,Bitwise@DLPR.com,https://bitwiseinvestments.com/professional-resources,https://bitwiseinvestments.com/,https://twitter.com/dlawant,
Blocktower Capital ,Crypto hedgefund,Jane,jane@blocktower.com,https://www.blocktower.com/contact,https://www.blocktower.com/,https://twitter.com/BlockTower,
Block Force Capital ,Quant. Fund ,(203) 989-3661,/, https://blockforcecapital.com/ (scroll all the way down),https://blockforcecapital.com/,https://twitter.com/BlockforceCap,
Blockchain Capital,Crypto Hedgefund,joanne@blockchaincapital.com,contact@blockchaincapital.com,https://blockchain.capital/,https://blockchain.capital/,https://twitter.com/blockchaincap,
Blockhead Capital ,Crypto Hedgefund,Zach Farbod Rabi,/,https://www.blockheadcap.com/contact,https://www.blockheadcap.com/,https://twitter.com/blockheadcap,
Blockseed Capital ,Investment Manager & Fund,Aniruddh Jain,info@blockseedinvestments.com,http://www.blockseed.vc/#contact-form,http://www.blockseed.vc/,/,
Blockwealth Capital ,Venture Capital,(561) 513-9005,Info@BlockWealthCapital.com,https://blockwealthcapital.com/contact/,https://blockwealthcapital.com/,/,
BXE Capital ,Asset Management Firm,(888)252-3671,ir@bxecapital.com,https://www.bxecapital.com/,https://www.bxecapital.com/,https://twitter.com/BxeCapital?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor, 
